TCGA-CG-5733	213	236	1148	1305	64	72	675	653	44	42	3688	3661
TCGA-CK-4951	340	392	3230	3325	3353	3303	1673	1695	1158	1124	19194	19027
TCGA-CK-5913	64	45	1035	1031	166	183	614	635	33	28	2779	2911
TCGA-CK-5916	160	155	1600	1678	190	185	883	884	132	128	5504	5648
TCGA-CK-6746	251	258	1499	1511	130	162	860	827	118	118	3786	3743
TCGA-CK-6747	15	17	54	60	9	6	108	108	16	21	581	579
TCGA-CM-4746	95	90	362	361	66	56	470	465	50	39	3736	3645
TCGA-CM-6162	62	60	417	389	36	56	330	334	25	34	5468	5477
TCGA-CM-6171	200	218	989	1107	118	105	701	738	138	144	4692	4695
TCGA-CM-6674	95	88	859	903	93	108	385	364	87	54	3851	3812
TCGA-D1-A0ZO	67	84	526	572	127	120	329	345	81	91	2153	2184
TCGA-D1-A0ZS	29	43	354	359	40	46	202	222	51	49	1365	1392
TCGA-D1-A101	30	38	392	406	63	70	403	429	78	96	1878	1910
TCGA-D1-A160	148	122	737	724	108	85	311	359	44	52	1565	1640
TCGA-D1-A163	38	52	648	661	42	30	358	388	74	73	1945	1993
TCGA-D1-A167	63	66	887	918	128	133	727	763	112	77	9275	9207
TCGA-D1-A16F	30	38	542	564	82	78	332	293	65	89	1792	1728
TCGA-D1-A16N	56	53	183	181	74	68	111	113	97	83	346	358
TCGA-D1-A174	60	55	542	577	82	87	478	440	73	55	3238	3333
TCGA-D1-A176	25	39	412	402	47	43	375	354	42	49	1580	1553
TCGA-D1-A177	58	58	793	844	74	57	504	478	77	98	2716	2623
TCGA-D1-A17A	56	40	268	269	12	12	148	185	35	33	799	861
TCGA-D1-A17B	62	63	232	223	33	42	165	214	17	28	1074	1120
TCGA-D1-A17D	37	36	310	381	80	98	506	495	94	96	1827	1753
TCGA-D1-A17F	24	32	157	200	9	13	37	48	33	32	1281	1280
TCGA-D1-A17H	68	74	663	719	71	93	497	488	34	47	2412	2313
TCGA-D1-A17M	21	24	348	351	46	42	290	291	48	54	1618	1619
TCGA-D1-A17R	23	25	257	274	51	58	126	149	13	20	996	985
TCGA-D1-A17U	50	49	371	407	38	56	259	262	73	76	1394	1508
TCGA-D1-A1NS	65	60	253	241	58	35	249	225	54	54	1004	1045
TCGA-D1-A1NY	58	61	623	630	82	90	445	443	81	84	2024	1954
TCGA-D1-A1NZ	174	178	784	872	165	149	697	691	100	105	2499	2482
TCGA-D1-A1O7	36	37	237	251	55	56	250	256	76	76	1578	1564
TCGA-D1-A2G0	59	77	868	872	84	91	539	554	119	103	3268	3198
TCGA-D1-A2G5	52	30	230	210	62	73	211	237	35	51	637	701
TCGA-D1-A2G6	38	37	46	51	23	36	43	51	24	25	427	405
TCGA-D5-6530	136	129	914	935	173	159	552	589	77	78	4152	3983
TCGA-D5-6540	285	311	609	664	170	189	1089	1109	85	90	4899	4935
TCGA-D5-6927	80	72	1137	1186	80	93	547	504	32	25	2185	2192
TCGA-D5-6930	175	192	586	653	168	153	850	821	72	66	5855	5778
TCGA-D7-A4YV	165	152	503	526	99	114	491	450	64	71	3641	3574
TCGA-D7-A4YY	200	204	351	369	56	57	337	367	68	72	1587	1675
TCGA-D7-A6EY	577	627	2156	2239	570	620	726	679	90	66	3693	3847
TCGA-DC-6154	38	29	56	55	10	10	164	148	0	0	381	400
TCGA-DF-A2KZ	66	88	512	528	66	65	481	443	55	43	2318	2346
TCGA-DI-A0WH	40	55	944	1023	134	141	351	371	67	71	1880	1791
TCGA-DI-A1BU	522	473	31309	32589	2591	2560	2111	2142	471	493	16125	16400
TCGA-DM-A1HB	307	329	1922	1959	186	196	928	955	86	103	3499	3505
TCGA-E6-A2P8	86	90	700	748	106	109	291	300	30	37	1925	1990
TCGA-E6-A2P9	142	155	778	865	235	228	665	639	61	64	3439	3481
TCGA-EC-A1NJ	125	124	956	999	128	139	85	71	33	40	383	382
TCGA-EC-A24G	147	146	974	981	134	148	556	541	67	67	5890	5945
