sample	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60
TCGA-CG-4442-01A	0.144545712	0.003811517	0.002778578	0.00228348	0.004267251	0.235377679	0.003702357	0.003049804	0.001540888	0.004052189	0.002379463	0.003701325	0.002564325	0.025503094	0.004697744	0.014498626	0.000984893	0.005796816	0.027638188	0.005268501	0.003408318	0.005381289	0.002066351	0.003098765	0.098424471	0.146337842	0.001971391	0.006386656	0.001941478	0.003463212	0.045119571	0.001712704	0.001681959	0.002093035	0.004760588	0.003027813	0.00454388	0.006526231	0.001995697	0.002465439	0.00199148	0.003444775	0.004022905	0.001892805	0.002496673	0.002040731	0.005119974	0.001544832	0.042254499	0.003694706	0.006891397	0.001870838	0.001127134	0.003487113	0.002192446	0.002003999	0.001207878	0.003275611	0.053933041	0.001478704	0.002372701	0.002261915	0.002061041	0.001703039	0.000780639
TCGA-VQ-A8PT-01A	0.126260363	0.005328666	0.003464354	0.00337618	0.005495377	0.245908082	0.00667399	0.005772081	0.002263428	0.002107277	0.003322839	0.0030931	0.00507568	0.010018862	0.014531403	0.009324719	0.000848665	0.037978374	0.109526255	0.003142457	0.003125729	0.003173456	0.003451303	0.006015277	0.04229337	0.042597528	0.001628312	0.009882967	0.002615059	0.003936863	0.024221461	0.001481221	0.001395609	0.003311518	0.007606104	0.004524313	0.01018348	0.005492091	0.001526104	0.003904503	0.002973105	0.004541765	0.008975992	0.002541381	0.003233651	0.00189108	0.008422305	0.003278224	0.081447365	0.009456143	0.00685277	0.002185989	0.002999867	0.007067479	0.003477932	0.001926998	0.001688731	0.004476	0.04085912	0.002173043	0.002699423	0.002547212	0.002814911	0.004586632	0.001004461
TCGA-BR-8360-01A	0.233658057	0.003007747	0.005779648	0.005286152	0.007157473	0.205872449	0.003167432	0.003657997	0.002566934	0.003855901	0.00416349	0.00420296	0.002051684	0.019136116	0.004741292	0.012422179	0.002016966	0.006836234	0.092983677	0.006056154	0.002759186	0.007233943	0.004295191	0.004221912	0.063654681	0.023731487	0.00312968	0.006083003	0.007524798	0.005374062	0.025301511	0.003587526	0.003210569	0.005808579	0.003652183	0.004914678	0.00474114	0.008895381	0.002632811	0.006280338	0.003471789	0.008107741	0.007799555	0.00466829	0.004698946	0.003568855	0.00770859	0.003052972	0.029616696	0.007932642	0.007369279	0.002697926	0.001562945	0.004184048	0.002706574	0.003219162	0.002129672	0.00786895	0.039599523	0.004656761	0.002416626	0.003011103	0.003356582	0.006926529	0.002015042
TCGA-BR-8372-01A	0.145880025	0.001319002	0.00315264	0.003702161	0.004653862	0.11086809	0.002472996	0.003306079	0.003370461	0.004253137	0.003957758	0.004185617	0.002197976	0.015225014	0.006069016	0.011468195	0.001211987	0.011898003	0.057507518	0.007265691	0.006583782	0.004801351	0.003164939	0.003776243	0.032716237	0.122223965	0.001990112	0.007180986	0.004732879	0.003927117	0.140409351	0.00189006	0.002247275	0.004206157	0.004387775	0.003584008	0.009319034	0.002704885	0.004669601	0.003668977	0.00310407	0.00428367	0.005659242	0.002250343	0.003220148	0.002788441	0.010621182	0.002247078	0.051536106	0.005639414	0.012873038	0.002493989	0.001878049	0.003534633	0.002779086	0.00280135	0.002084264	0.00378611	0.090714192	0.001749563	0.002714865	0.002299785	0.002432557	0.003318034	0.001040826
TCGA-D7-A4YY-01A	0.178280682	0.003634063	0.008292451	0.007747813	0.009296927	0.170032132	0.010633044	0.01191666	0.003324848	0.004001384	0.005936794	0.00565062	0.004082214	0.017689008	0.013835808	0.00766301	0.002454183	0.014807235	0.048504511	0.004625144	0.022005978	0.053000781	0.007995672	0.009903031	0.048901037	0.018227689	0.002752149	0.012583697	0.00649641	0.005387258	0.012329944	0.002778308	0.005886112	0.010119585	0.011414021	0.008031872	0.012919751	0.015124805	0.002170945	0.011316952	0.006563081	0.004900894	0.005909197	0.007889292	0.007223962	0.004334525	0.013491076	0.002647142	0.028169057	0.007870597	0.007829549	0.002712408	0.004949926	0.003957878	0.008311416	0.003014545	0.003787234	0.005591915	0.034235734	0.00300678	0.004194035	0.004743976	0.003915902	0.007073264	0.001922084
TCGA-F1-6177-01A	0.299036712	0.003612278	0.002738621	0.002570779	0.004750217	0.298558429	0.003669811	0.00312069	0.001865819	0.002082543	0.002066628	0.002589022	0.001566083	0.016202707	0.004192145	0.013920166	0.000900165	0.01156963	0.017022946	0.004679507	0.00276981	0.008108972	0.002204295	0.002691506	0.062959732	0.013843541	0.001120308	0.004065431	0.003498204	0.00203347	0.01907817	0.001301139	0.002084943	0.003086079	0.004244186	0.002662418	0.003620108	0.00658846	0.001384456	0.002923017	0.002046225	0.003125498	0.003154888	0.00338114	0.002563576	0.001992918	0.00553335	0.002114055	0.03035135	0.003643526	0.006724992	0.001661344	0.001575935	0.002920083	0.003471474	0.002116627	0.001305272	0.004682465	0.057550965	0.001086378	0.00159181	0.002778295	0.003067841	0.003704028	0.000872822
TCGA-F1-6874-01A	0.252052595	0.003712099	0.004287089	0.003759161	0.006602768	0.182912941	0.003608483	0.006082088	0.002522051	0.002969635	0.003617152	0.004263799	0.004024569	0.020172751	0.010684615	0.015242689	0.001597612	0.027565255	0.014730523	0.004344808	0.006018765	0.006460281	0.00363976	0.005871745	0.095634095	0.036802676	0.002424052	0.015254742	0.003256156	0.005876158	0.020031089	0.001758728	0.002156787	0.003559124	0.01070321	0.007036117	0.011620361	0.008246323	0.002101804	0.00674745	0.003517828	0.006864029	0.003806481	0.003879454	0.003991	0.003105408	0.009165521	0.003670317	0.059168903	0.00554942	0.0102733	0.002024726	0.001845401	0.005996701	0.002421105	0.00287728	0.001914184	0.003198995	0.012904417	0.00244663	0.003425714	0.005089977	0.003827582	0.007810724	0.0012728
TCGA-HU-A4GQ-01A	0.334240159	0.001786277	0.002194209	0.002121364	0.003064012	0.248598693	0.003640982	0.003223391	0.00115521	0.001668821	0.002286663	0.00225832	0.004389554	0.006608985	0.008422634	0.007833274	0.000778181	0.015175255	0.017555227	0.002298867	0.003156743	0.010133912	0.002329576	0.003229789	0.08353195	0.024009625	0.002084516	0.006018558	0.002658475	0.003472927	0.029589309	0.001497541	0.001051464	0.002201439	0.003386187	0.002683197	0.004254165	0.002697385	0.001641523	0.003262205	0.002496082	0.002300619	0.003321144	0.001558853	0.001905693	0.001432655	0.008032256	0.001550706	0.012584391	0.003047911	0.009660878	0.00144912	0.000592344	0.001237811	0.001757038	0.001251958	0.001047973	0.00281452	0.07003345	0.000986118	0.002853438	0.001394811	0.001455513	0.002306113	0.00073804
TCGA-BR-4292-01A	0.463569898	0.001888285	0.003454903	0.003558897	0.004057898	0.128213364	0.002308142	0.00245421	0.002180246	0.002288927	0.004179747	0.004519287	0.001753176	0.014913861	0.002514093	0.00472022	0.001459117	0.012035332	0.028756401	0.002270204	0.002818808	0.006426692	0.003021995	0.00282603	0.035358872	0.022431446	0.002365581	0.003457146	0.004622078	0.004217192	0.009671444	0.002365473	0.002699526	0.004807802	0.003265339	0.002733749	0.003472696	0.006831496	0.002775901	0.003677126	0.002467148	0.004033495	0.002752044	0.00290805	0.003016822	0.002310303	0.005540156	0.005548296	0.052333658	0.002776936	0.005091841	0.004300898	0.000842958	0.001798911	0.004158745	0.002298459	0.001440254	0.004060415	0.052714608	0.002086746	0.002267553	0.002548978	0.002367617	0.008102586	0.001289921
TCGA-CD-8536-01A	0.269716635	0.001910844	0.004090253	0.003516444	0.005231949	0.210654432	0.003103115	0.004595729	0.002026887	0.003249099	0.003555707	0.003113204	0.005668114	0.011410791	0.005567082	0.013787174	0.001508906	0.020858376	0.051987275	0.004126479	0.004028477	0.003801188	0.004544008	0.005565011	0.068313538	0.038682044	0.002158893	0.009604416	0.003684404	0.003338547	0.026905678	0.002205514	0.00185878	0.004249227	0.004866876	0.005104534	0.006732481	0.008905495	0.002169304	0.005623771	0.004113632	0.004449028	0.003698145	0.003492254	0.003713609	0.002929723	0.007312696	0.003178776	0.041850449	0.003901689	0.009127198	0.001855875	0.001079432	0.001566483	0.00359483	0.002238294	0.001797916	0.003273388	0.036738338	0.001548479	0.004590952	0.002561617	0.002201998	0.005930064	0.001234454
